anion,T,trail,alpha_soft,alpha_soft_se,alpha_hard,alpha_hard_se
beti,298,1.1,0.00082074,0.00022717,0.00012623,2.583e-05
beti,298,1.2,0.00087918,0.00019769,0.00012413,2.59e-05
beti,298,1.3,0.00082441,0.00019597,0.00012326,2.582e-05
beti,298,1.4,0.00082682,0.00019115,0.00012082,2.523e-05
beti,298,1.5,0.00065752,0.00016522,0.00011409,2.643e-05
beti,298,1.6,0.00049402,0.00014857,0.00011383,2.591e-05
beti,298,1.7,0.00049751,0.00014892,0.00011196,2.655e-05
beti,298,1.8,0.00049381,0.00014624,0.00010874,2.73e-05
beti,298,1.9,0.00050067,0.00014319,0.00010908,2.673e-05
beti,298,2.0,0.00049933,0.00013829,0.00010858,2.641e-05
beti,298,2.5,0.00049629,0.00012683,0.00010778,2.497e-05
beti,298,3.0,0.00047363,0.00011895,0.00010644,2.398e-05
beti,298,3.5,0.00032529,0.00010273,0.00010819,2.292e-05
beti,298,4.0,0.00031776,7.575e-05,9.711e-05,2.426e-05
beti,298,4.5,0.00028319,7.364e-05,9.478e-05,2.16e-05
beti,298,5.0,0.0002506,7.08e-05,9.627e-05,2.088e-05
beti,298,5.5,0.00024781,6.617e-05,8.859e-05,2.136e-05
beti,298,6.0,0.00023224,5.109e-05,7.989e-05,2.131e-05
beti,298,6.5,0.00016324,4.762e-05,6.765e-05,1.953e-05
beti,298,7.0,0.000138,4.372e-05,7.65e-05,1.779e-05
beti,298,7.5,0.0001403,4.545e-05,7.666e-05,1.705e-05
beti,298,8.0,0.00010689,4.632e-05,6.482e-05,1.743e-05
beti,298,8.5,7.982e-05,2.993e-05,5.343e-05,1.734e-05
beti,298,9.0,0.00010058,3.058e-05,5.411e-05,1.628e-05
beti,298,9.5,9.037e-05,3.147e-05,5.002e-05,1.567e-05
beti,298,10.0,6.848e-05,3.067e-05,4.63e-05,1.635e-05
beti,353,0.1,0.00478701,0.00340373,0.00079629,6.776e-05
beti,353,0.2,0.0053746,0.00146827,0.00079385,6.757e-05
beti,353,0.3,0.00495581,0.00140765,0.00079423,6.769e-05
beti,353,0.4,0.00579415,0.00122038,0.00079275,6.734e-05
beti,353,0.5,0.00373842,0.00088574,0.00082531,6.84e-05
beti,353,0.6,0.00407166,0.00088872,0.00082611,7.007e-05
beti,353,0.7,0.00400113,0.0007961,0.00081858,7.103e-05
beti,353,0.8,0.00429085,0.00074065,0.00081078,7.202e-05
beti,353,0.9,0.00408672,0.00078035,0.0008022,7.305e-05
beti,353,1.0,0.00373645,0.00067202,0.00080311,6.724e-05
beti,353,1.1,0.00384783,0.0006545,0.00081093,6.69e-05
beti,353,1.2,0.00355992,0.00057362,0.00080486,6.444e-05
beti,353,1.3,0.00330062,0.00050259,0.00080185,6.282e-05
beti,353,1.4,0.00313539,0.00042288,0.00077269,6.389e-05
beti,353,1.5,0.00304916,0.00040602,0.0007778,6.337e-05
beti,353,1.6,0.00309824,0.00038385,0.00077438,6.35e-05
beti,353,1.7,0.00282599,0.00039305,0.00076997,6.977e-05
beti,353,1.8,0.00271149,0.00037198,0.0007567,7.414e-05
beti,353,1.9,0.00278707,0.0003421,0.00074913,6.835e-05
beti,353,2.0,0.00230328,0.00035082,0.00073256,6.551e-05
beti,353,2.5,0.00198545,0.00022818,0.00072635,6.344e-05
beti,353,3.0,0.00158586,0.00021324,0.00070439,6.166e-05
beti,353,3.5,0.00142438,0.00018325,0.00069073,5.803e-05
beti,353,4.0,0.00096831,0.00014745,0.00067785,6.121e-05
beti,353,4.5,0.00081804,0.00010381,0.000599,6.225e-05
beti,353,5.0,0.00076387,9.198e-05,0.00056421,5.388e-05
beti,353,5.5,0.00069093,7.571e-05,0.00055005,5.533e-05
beti,353,6.0,0.00056689,7.912e-05,0.00050348,5.313e-05
beti,353,6.5,0.00050816,7.002e-05,0.00049577,5.013e-05
beti,353,7.0,0.00045178,5.912e-05,0.00045476,4.693e-05
beti,353,7.5,0.00043482,5.591e-05,0.00042291,4.734e-05
beti,353,8.0,0.00037885,6.075e-05,0.00040058,5.087e-05
beti,353,8.5,0.00031399,4.906e-05,0.00036352,5.031e-05
beti,353,9.0,0.00027332,5.14e-05,0.00029916,4.715e-05
beti,353,9.5,0.00024122,4.881e-05,0.00027686,4.334e-05
beti,353,10.0,0.00022453,4.583e-05,0.00027887,3.791e-05
beti,373,0.1,0.0,0.0,0.00119869,0.00011282
beti,373,0.2,0.00591943,0.00238179,0.0012011,0.00011225
beti,373,0.3,0.00493579,0.00172784,0.00120315,0.00011137
beti,373,0.4,0.00489396,0.00112016,0.00120371,0.00011212
beti,373,0.5,0.0048735,0.00109522,0.00120357,0.00011248
beti,373,0.6,0.00531887,0.00091736,0.00120174,0.00011249
beti,373,0.7,0.00550829,0.00095862,0.00121284,0.00011313
beti,373,0.8,0.00542779,0.00085344,0.00119634,0.00011344
beti,373,0.9,0.0057823,0.00072852,0.0011969,0.00011183
beti,373,1.0,0.00579149,0.00062701,0.00117149,0.00011048
beti,373,1.1,0.00592724,0.0006085,0.00116674,0.00011039
beti,373,1.2,0.00573145,0.00056861,0.00112897,0.00010803
beti,373,1.3,0.0055559,0.00057733,0.00117865,0.00011518
beti,373,1.4,0.0052092,0.00061826,0.001163,0.00011507
beti,373,1.5,0.00515692,0.00057865,0.0011437,0.00011365
beti,373,1.6,0.00455718,0.00051143,0.00111865,0.00011384
beti,373,1.7,0.00476775,0.0005013,0.00111158,0.00011734
beti,373,1.8,0.00472435,0.00048392,0.00106194,0.00011017
beti,373,1.9,0.00457522,0.00045631,0.00105624,0.00010789
beti,373,2.0,0.00440301,0.00043057,0.00111571,0.0001076
